tfidf_top_terms
"chicken, flavors savory, sauce flavors, tomatoes cucumbers, eastern dish, includes, yogurt sauce, gyro"
"satisfying crispy, fries carry, condiments like, outside fluffy, oil, carry subtle, popular side, dish casual"
"chicken, slow cooked, textures tender, sauce provides, garlic sauce, tahini garlic, creamy tahini, slow"
"falafel, rice, brown falafel, made ground, ground chickpeas, eastern cuisine, chickpeas herbs, tahini sauce"
"bold flavors, savory satisfying, embodies fast, fries dipping, crispy breaded, provide creamy, topped melted, kick topped"
"they, their crunchy, profile garlicky, enjoyed american, sliced onions, rings made, condiments like, ketchup ranch"
"mccrispy, roma, spicy mccrispy, crunchy creamy, combines crunchy, chicken filet, spicy pepper, filet"
"bubbly texture, experience crisp, fries enhancing, alongside fast, diet coke, caramel citrus, beverage chilled, profile refreshing"
"white chocolate, white, coffee, chocolate, shops, mocha creamy, chocolate mocha, offering delightful"
"dressing pairs, sauce have, spices including, combines creamy, kick complemented, ranch sauce, blackened ranch, blackened"
"chocolate, warm, sweet treat, flour butter, flavor hints, buttery richness, soft flaky, inviting aroma"
"american cheeses, sub, creamy sriracha, provolone, crunchy contrast, tender marinated, spices topped, red onions"
"ice, warm weather, complements variety, taste refreshing, weather, gatherings, pack, variety snacks"
"peanuts, like eleven, convenience stores, garlic chili, eleven, stores, stores like, convenience"
"drizzle honey, accompanied drizzle, warm they, honey dollop, enriched, biscuits, tender flaky, special"
"blackened, wings, inspired cuisine, rub, heat creamy, hints heat, bold kick, blackened ranch"
"chips, guacamole, chips made, chips guacamole, gallo added, accompanied salsa, appetizer accompanied, dip guacamole"
"pepper, sandwich, seasoning, spicy pepper, pepper crispy, delivering bold, include creamy, coated spicy"
"parmesan, oil, fries crispy, offer satisfying, parmesan cheese, chewiness, savory blend, unique"
"falafel, chickpeas herbs, pickles refreshing, brown falafel, made ground, adding creamy, sauce adding, ground chickpeas"
"sandwich, food culture, bread infused, pickles refreshing, interior complemented, sandwich combo, mexican coke, complemented vegetables"
"meal, crisp lettuce, satisfying fast, savory satisfying, mcchicken, chicken patty, spicy mcchicken, creating savory"
"taste experience, complemented hints, sauce blend, cuisine offers, used american, smooth consistency, ranch sauce, overall taste"
"beans, salsa, burrito bowl, fajita, cheese offers, featuring base, creamy sour, salsa creamy"
"sandwich, toasted hoagie, spicy notes, salami pepperoni, cheese toasted, provolone, sub, sandwich seasoned"
"potential, features warm, have subtle, potential hints, profile include, texture flavor, accompanying, complements variety"
"organic, tractor, meal overall, lemons, experience crisp, natural, tractor organic, lemons water"
"tea, black tea, black, tractor, high, natural, organic, tractor organic"
"tea, slices added, many, regions, accompanied mint, herbal, sweetened sugar, citrusy texture"
"ghost pepper, ghost, pepper, ranch, sandwich, embodies fast, profile crispy, food popular"
"pita, chicken, ed bell, marinated spices, chicken marinated, features grilled, fajita, refreshing soda"
"grilled, savory elements, chicken beef, jack wrap, adds tangy, crunchy pickles, providing refreshing, tortilla include"
"passion, aroma have, hibiscus, passion fruit, vibrant fruity, profile drink, snacks like, beverage found"
"chocolate, flour butter, paired glass, treat made, glass milk, warm buttery, crispy edges, chip cookie"
"italian, roasted garlic, monterey, italian herbs, teriyaki sauce, tomatoes green, garlic aioli, teriyaki"
"food dining, textures dish, dish savory, sauces offering, creamy sauces, fillet seasoned, savory spicy, tortilla include"
"sweet spicy, incorporating, salad enhancing, possibly incorporating, grilled saut, offering smoky, side rice, remaining tender"
"balsamic, gourmet, salad embodies, burger have, embodies casual, yet, patty seasoned, fries side"
"mexican, dishes standalone, crisp effervescent, cane, cane sugar, popular soft, coke popular, high"
"cream cheese, american chinese, profile umami, sauce bites, sour dipping, green onions, cream, bites"
"enjoyed thirst, aroma bubbly, soft drinks, carbonated soft, chilled making, bubbly, effervescent texture, sprite"
"reflects fusion, experience dish, habanero, pepper crispy, rub, typical portland, culinary scene, juicy within"
"breakfast, they, flavor buttery, potatoes pan, shredded potatoes, grated shredded, browns made, ketchup hot"
"potatoes, enjoyed savory, grated shredded, seasoned deep, shredded potatoes, tots made, tater tots, tater"
